"","P21452_153","P21452_161","P21452_165","P21452_169","P21452_173","P21452_177","P21452_181","P21452_189"
"PS_chr03_G010422",0,0,4,0,0,0,0,3
"PS_chr03_G010423",4.093,0,0,0,0,0,2.943,0
"PS_chr03_G010424",104.395,5.858,0,0,0,108.436,0,15.884
"PS_chr03_G010425",0,0,0,0,0,0,0,0
"PS_chr03_G010426",165.731,93.999,156.078,96.524,211.176,104.963,111.399,166.526
"PS_chr03_G010428",0,0,0,0,0,1,0,0
"PS_chr03_G010429",0,0,0,0,1,0,0,0
"PS_chr03_G010430",2858.799,1788.396,6354.168,3745.219,4131.4,1530.341,1204.766,3585.823
"PS_chr03_G010431",14379.014,7620.939,15212.945,16326.43,14442.044,12324.881,7711.96,14155.289
"PS_chr03_G010432",12633.816,12625.749,8501.558,12619.007,12116.289,9690.809,6360.725,10904.363
"PS_chr03_G010433",57,64.547,47.849,113.014,163.006,41,48,69
"PS_chr03_G010435",359.99,369.229,616.103,378.322,336.193,252.284,168.005,441.192
"PS_chr03_G010436",949.316,951.494,1133.883,1065.418,746.929,700.001,376.318,755.729
"PS_chr03_G010437",552.146,309.122,954.172,1057.378,596.811,314.689,138.28,432.819
"PS_chr03_G010438",1829.814,1807.871,2565.824,1421.518,1585.256,1158.785,1346.62,1942.837
"PS_chr03_G010439",1666.111,1384.873,2084.46,1693.253,1728.34,843.864,1600.834,2479.503
"PS_chr03_G010440",3841.131,2543.434,2855.053,3489.816,2519.534,1409.448,3633.134,2702.469
"PS_chr03_G010441",1000.917,980.89,1615.72,1039.494,2243.69,574.999,560.063,1569.244
"PS_chr03_G010442",1740.917,2157.128,1741.422,1616.202,2137.639,1379.931,899.571,1772.552
"PS_chr03_G010443",97,54,194,116.007,218.013,58,99.233,277.21
"PS_chr03_G010444",660.09,735.666,565.68,658.547,1239.999,508,625.08,1040.679
"PS_chr03_G010445",0,0,0,0,0,0,0,0
"PS_chr03_G010446",1177.426,934.133,996.224,1559.444,1747.241,787.423,693.404,1614.641
"PS_chr03_G010447",61.408,137.185,52.873,11.014,58.891,93.295,38.41,71.889
"PS_chr03_G010449",109,80,88,182.047,449.181,48,71,92.002
"PS_chr03_G010450",2,0,2,1,1,2,1,0
"PS_chr03_G010451",268.96,214.448,525.999,497.615,782.715,204.131,294.253,582.716
"PS_chr03_G010452",0,0,0,0,0,0,0,0
"PS_chr03_G010453",0,0,0,0,0,0,0,0
"PS_chr03_G010454",359,571.144,755.009,758.594,1005.479,326.072,281.255,833.881
"PS_chr03_G010456",87,91,122,271.126,398.223,74,104,384.859
"PS_chr03_G010457",339.176,274.221,403.359,400.45,385.002,252.984,217.303,449.112
"PS_chr03_G010458",262,177,229.21,144,812.493,207,186,391.002
"PS_chr03_G010459",2047.871,1767.733,2519.829,2312.799,3102.513,1770.454,1308.411,2495.098
"PS_chr03_G010460",259.365,114.882,284.017,226.962,159.993,227.126,20.005,159.686
"PS_chr03_G010461",86.871,77.199,76.166,37.58,37.688,62.569,11,51.566
"PS_chr03_G010462",21.851,14.919,43.664,23.655,16.319,23.545,6.995,27.748
"PS_chr03_G010463",162.051,72,61,94,176.238,25,42,184.079
"PS_chr03_G010464",36,11,1,8,3.003,28,3,43
"PS_chr03_G010465",36.95,21.223,90.604,40.62,186.113,60.837,37.998,75.348
"PS_chr03_G010466",20.05,15.777,36.396,10.38,44.726,16.163,15.002,29.652
"PS_chr03_G010467",0,0,4.245,1.448,1.914,0,0,0
"PS_chr03_G010468",592.022,437.297,1004.452,389.154,827.168,368.083,515,768.682
"PS_chr03_G010469",0,1,0,0,1,1,1,0
"PS_chr03_G010470",0,0,0,0,0,0,0,0
"PS_chr03_G010471",0,0,4,1,0,1,2,1
"PS_chr03_G010472",1696.397,1107.224,1621.204,1594.477,2558.289,1259.264,1055.47,2258.849
"PS_chr03_G010473",0,0,0,0,0,0,0,0
"PS_chr03_G010474",149,166.838,246,237.095,302,125,152,201.007
"PS_chr03_G010475",1,0,0,0,2,0,15,0
"PS_chr03_G010476",811.295,917.626,1016.301,1062.248,1406.823,713,838.18,1423.231
"PS_chr03_G010477",11963.966,10577.893,4984.65,7026.358,7895.278,8606.2,4117.75,7122.48
"PS_chr03_G010478",45,44,25,121,17,40,6,9
"PS_chr03_G010479",1647.002,2964.719,1171.946,2497.774,1678.683,1566.993,1150.15,1723.143
"PS_chr03_G010480",11707.767,11195.742,2864.795,6513.271,4719.37,7207.148,2318.177,3449.373
"PS_chr03_G010481",1,1,2,0,1,0,0,9
"PS_chr03_G010482",490.276,10.469,29.445,32.164,17.351,680.567,7.784,38.208
"PS_chr03_G010483",3,12,3,0,12,7,0,4
"PS_chr03_G010484",49,33,1,5,2,0,12,83
"PS_chr03_G010485",22.024,0,0,0,2.422,32.944,1.001,0
"PS_chr03_G010486",38,23,90,52,72,34,15,101
"PS_chr03_G010488",4,45,50,56,127.088,37,50,89
"PS_chr03_G010489",0,0,3,0,0,0,0,0
"PS_chr03_G010490",7.628,7.261,0,5.826,21.052,7.144,1.141,20.116
"PS_chr03_G010491",0,0,0,0,0,0,0,0
"PS_chr03_G010492",303.128,755.611,190.675,240.087,216.585,203.995,295.873,213.471
"PS_chr03_G010494",4135.175,4965.558,4949.205,3506.952,4258.848,2802.52,1534.352,3398.443
"PS_chr03_G010495",1,0,0,0,0,0,0,0
"PS_chr03_G010497",0,0,0,0,0,0,0,0
"PS_chr03_G010498",0,0,0,0,0,0,0,0
"PS_chr03_G010501",0,0,0,0,0,0,0,0
"PS_chr03_G010502",0,0,0,0,0,0,0,0
"PS_chr03_G010503",757.731,744.6,489,1336.468,799.935,666.885,889.15,728.652
"PS_chr03_G010504",0,0,0,0,1,0,0,0
"PS_chr03_G010505",0,0,0,0,0,0,2,0
"PS_chr03_G010506",6,12,37,6,9,13,6,5
"PS_chr03_G010507",0,0,4,0,0,2,0,0
"PS_chr03_G010508",0,0,0,0,1,3,0,0
"PS_chr03_G010509",5,5,102,1,2,0,0,0
"PS_chr03_G010510",2566.487,2262.387,2777.495,2484.715,3637.667,1793.705,1651.635,3052.46
"PS_chr03_G010512",0,0,0,0,0,0,0,0
"PS_chr03_G010513",667.504,675,822.362,722.138,1150.742,537.772,686.608,1087.358
"PS_chr03_G010514",1,3,2,1,1,0,2,13
"PS_chr03_G010516",25,19,44,101,47,39,26.046,36
"PS_chr03_G010517",759.163,594.121,775.156,744.402,1181.862,582.946,483,968.625
"PS_chr03_G010518",0,2,3,1,1,1,1,7
"PS_chr03_G010519",0,0,0,0,0,0,0,0
"PS_chr03_G010520",1209.346,737.045,1115.268,1175.255,1565.868,741.513,550.979,1384.983
"PS_chr03_G010521",16713.907,12888.759,13607.019,20116.477,25573.758,11903.636,8725.095,20102.938
"PS_chr03_G010522",0,0,0,0,0,0,0,0
"PS_chr03_G010523",814.878,621.689,602.169,985.129,643.332,576.114,221.93,617.11
"PS_chr03_G010524",2353.29,1335.793,1989.517,3898.718,2953.844,1424.066,1170.947,2314.486
"PS_chr03_G010526",873.91,659.773,930,1065.535,1183.134,554,551.539,950.386
"PS_chr03_G010527",0,0,0,0,0,0,0,0
"PS_chr03_G010528",26,19,11,32,35,26,16,16
"PS_chr03_G010529",2599.007,2125.007,1907.938,3156.369,2953.873,1687.125,1591.727,2270.688
"PS_chr03_G010530",0,0,0,0,0,0,0,0
"PS_chr03_G010531",0,0,0,0,0,0,0,0
"PS_chr03_G010532",328.683,112,903.457,122,520.001,36,87.318,782.202
"PS_chr03_G010534",6.005,8.008,3.002,3.002,7.006,3.003,2.003,1.001
"PS_chr03_G010535",54761.646,38643.236,18322.191,27806.718,24897.556,35857.372,16015.222,19641.972
"PS_chr03_G010536",2036.001,1539.985,838.077,1356.659,464.368,964.181,486.094,244
"PS_chr03_G010537",5025.978,1903.488,84.422,141.67,43.549,1261.704,398.455,74.189
"PS_chr03_G010538",760.832,652.093,6.114,315.29,35.815,202.732,18,54.994
"PS_chr03_G010539",73901.683,53145.974,11029.766,18290.722,5989.257,47466.391,6272.364,8682.513
"PS_chr03_G010540",92.831,100.596,75.2,129.93,97.808,89.304,6.308,78.094
"PS_chr03_G010541",103.809,118.394,207.207,413.195,268.882,35.662,96.226,385.513
"PS_chr03_G010542",94.519,37.857,74.819,381.478,45.199,134.705,47.205,31.138
"PS_chr03_G010543",19,17.439,22.761,100.37,13.25,27.006,11,32.698
"PS_chr03_G010544",10.092,9.031,19.176,14.137,11.152,1.004,5.045,10.129
"PS_chr03_G010545",35.575,82.072,132.04,449.72,75.75,62.622,37.553,74.812
"PS_chr03_G010546",452.04,135,4689.178,264.001,3558.512,158.121,1146.104,6241.888
"PS_chr03_G010547",2967.303,1282.574,1508,1838.857,2022.118,1533.255,730.738,1915.488
"PS_chr03_G010548",812.006,765,1134.008,907.55,940.68,689.612,478.305,849.942
"PS_chr03_G010549",0,0,0,0,0,0,0,0
"PS_chr03_G010552",4132.923,3776.928,2983.276,3553.57,3908.848,2832.345,1884.539,3511.074
"PS_chr03_G010553",5,8,48,43,13,11,2,7
"PS_chr03_G010554",0,0,0,0,0,0,0,0
"PS_chr03_G010555",0,0,12,4,15,1,4,12
"PS_chr03_G010556",3,6,23,15,15,1,13,16.943
"PS_chr03_G010557",97,38,33,42,15,40,6,17.047
"PS_chr03_G010558",0,0,0.994,0,0,0,0,1
"PS_chr03_G010559",1,0,11.006,4,1,0,0,0
"PS_chr03_G010561",2,1,8,8,0,2,0,0
"PS_chr03_G010562",1,0,0,0,2,0,0,2
"PS_chr03_G010563",0,0,0,0,0,0,1,5
"PS_chr03_G010564",399,269.001,39,846.001,27.006,479.1,5,29
"PS_chr03_G010565",1131.434,730.797,264.217,1147.481,122.034,1077.202,41,91
"PS_chr03_G010566",0,0,0,0,0,0,0,0
"PS_chr03_G010567",0,0,0,0,0,0,0,0
"PS_chr03_G010568",0,0,0,2,1,0.96,1,0
"PS_chr03_G010569",0,0,1,6,0,11.04,0,3
"PS_chr03_G010570",324,313,229,323,279,231,167.93,236.878
"PS_chr03_G010571",0,0,0,0,0,0,0,0
"PS_chr03_G010572",3,0,0,2,0,0,0,0
"PS_chr03_G010573",0,0,0,0,0,0,0,0
"PS_chr03_G010574",38,19,17,26,21,44,4,16
"PS_chr03_G010575",24,12,3,30,13,21,1,4
"PS_chr03_G010576",75.842,77.01,8,193.747,5.314,81.675,10,17.909
"PS_chr03_G010577",46.157,50.99,12,395.303,20.686,75.325,3,36.091
"PS_chr03_G010578",1,0,0,3.007,1,0,1,0
"PS_chr03_G010579",38.001,14,21,26.001,12,36,5,14
"PS_chr03_G010580",22,13,10.186,11.995,24.793,5,3,14.001
"PS_chr03_G010581",20,59.604,49.002,73.508,35.547,52.994,17,19
"PS_chr03_G010582",9,51.42,46.998,82.973,30,25.006,9,25
"PS_chr03_G010583",0,0,0,0,0,0,0,0
"PS_chr03_G010584",14,19,42.814,24.005,13.659,38,26,42
"PS_chr03_G010585",5,0,20,20,17,20,3,11
"PS_chr03_G010586",50,53,51,49,44,23,2,37
"PS_chr03_G010587",1596.788,1379.029,1183.472,1983.955,1801.995,1394.342,793.766,1574.636
"PS_chr03_G010588",45,2,44,69,39,13,37,49
"PS_chr03_G010589",677.929,813.041,865.405,797.062,1449.459,629,697.417,901.035
"PS_chr03_G010591",3,0,0,0,0,0,0,0
"PS_chr03_G010592",0,0,0,0,0,0,0,0
"PS_chr03_G010593",6.335,0,0,0,0,0,0,0
"PS_chr03_G010594",0,0,0,0,0,2,0,1
"PS_chr03_G010595",2,0,0,1,0,2,0,0
"PS_chr03_G010596",0,0,0,0,0,0,0,0
"PS_chr03_G010597",95.029,5,0,5,7,0,31,0
"PS_chr03_G010598",0,0,0,0,0,0,0,0
"PS_chr03_G010599",54,21.636,8.827,75.909,24.637,40.022,3,11
"PS_chr03_G010600",5,3.364,12.173,6.11,14.363,9.978,0,0
"PS_chr03_G010601",0,0,7,0,0,1,0,0
"PS_chr03_G010602",23,4,28,23,7,17,1,6
"PS_chr03_G010603",3.739,0,0,0,0,0,0,0
"PS_chr03_G010604",4.897,0,0,0,0,0,0,0
"PS_chr03_G010605",1,0,0,0,0,0,0,4
"PS_chr03_G010606",0,0,1.136,5.492,0,0,2.182,3.001
"PS_chr03_G010607",25,29,19.864,15.515,28,31,40.818,44.999
"PS_chr03_G010608",0,0,0,0,0,0,0,0
"PS_chr03_G010609",0,0,0,0,0,0,0,0
"PS_chr03_G010610",0,0,0,1,0,0,0,0
"PS_chr03_G010611",0,0,0,0,0,0,0,0
"PS_chr03_G010612",32.705,1.411,0,56.297,3.479,49.041,2.002,6.094
"PS_chr03_G010613",24.049,0,0,54.602,7.443,107.168,0,89.195
"PS_chr03_G010614",0,0,0,10.038,0,42.99,0,0
"PS_chr03_G010615",6.326,0,0,7.754,1.077,3.259,0,3
"PS_chr03_G010616",0,0,0,0,0,0,0,0
"PS_chr03_G010617",27.887,67.057,0,111.98,0,4.744,4.998,0
"PS_chr03_G010618",26.678,8.534,0,131.774,17.257,65.015,0,66.792
"PS_chr03_G010619",0,0,0,0,0,0,0,0
"PS_chr03_G010620",7.674,0,24,16.701,7.923,3.741,0,0
"PS_chr03_G010621",15.681,0,0,149.109,17.821,18.041,0,91.689
"PS_chr03_G010622",0,4,0,25.545,0,0,0,0
"PS_chr03_G010623",13.895,15.878,10.097,68.764,28.46,2,6.146,29.918
"PS_chr03_G010624",83.067,63.605,80.903,221.504,149.937,48.957,25.382,45.801
"PS_chr03_G010626",0,0,0,0,3,2,0,0
"PS_chr03_G010627",14,20,0,0,0,0,0,0
"PS_chr03_G010628",560.269,557.256,761.142,462.402,976.425,351.201,451.089,929.406
"PS_chr03_G010631",1274.416,1524.618,1474.967,1463.915,1722.959,934.111,819.006,1402.24
"PS_chr03_G010632",72,180.094,388.001,394.727,836.227,134,225.989,463
"PS_chr03_G010633",1589.206,513.395,0,123.541,0,2000.084,176.41,0
"PS_chr03_G010635",0,0,0,0,0,0,0,0
"PS_chr03_G010636",2309.603,1942.004,2781.804,2214.083,3659.79,1711.582,1589.79,2855.488
"PS_chr03_G010638",475.061,502.152,373,466.135,443.983,311.026,214,352.179
"PS_chr03_G010639",389,400,253.609,211.047,123.136,75,21,125.725
"PS_chr03_G010640",7067.07,7382.587,7562.995,9172.451,8227.596,5574.987,3807.623,7408.775
"PS_chr03_G010641",914.991,761.101,1249.253,784.292,1822.374,711.454,675.73,1623.543
"PS_chr03_G010642",0,0,0,0,0,0,0,0
"PS_chr03_G010643",1326.186,1154.004,1691.812,1505.568,3422.427,1025.831,1290.073,2233.219
"PS_chr03_G010644",1226.172,996.117,732.239,1333.893,1944.38,1363.278,835.191,1994.544
"PS_chr03_G010645",1,0,0,0,0,0,0,0
"PS_chr03_G010646",61.388,57.294,0,204.139,76.14,122.501,0,66.869
"PS_chr03_G010647",6.382,0,0.979,6.686,5.812,0.615,2.084,16.362
"PS_chr03_G010648",0,0,0,0,0,0,0,0
"PS_chr03_G010649",0,0,0,0,0,0,0,0
"PS_chr03_G010650",9.792,0,1.902,13.039,0,2.775,6.179,24.037
"PS_chr03_G010651",170.494,259.581,24.526,769.012,30.064,169.397,62.29,34.286
"PS_chr03_G010652",30.578,37.368,54.575,21.098,5.333,14.716,13.926,80.188
"PS_chr03_G010653",202.702,235.645,32.97,815.258,138.33,253.457,76.219,134.489
"PS_chr03_G010654",263.475,173.748,64,354.714,263.607,143.419,262.418,312.601
"PS_chr03_G010655",0,0,0,0,0,0,0,0
"PS_chr03_G010656",0,0,0,0,0,0,0,0
"PS_chr03_G010657",0,0,29.372,56.817,24.465,42.307,18.396,51.031
"PS_chr03_G010658",42.523,21.611,22.634,52.103,43.974,9.237,30.509,111.073
"PS_chr03_G010659",0,0,0,0,0,0,0,0
"PS_chr03_G010660",1,0,0,0,2,0,0.989,0
"PS_chr03_G010661",4,0,0,0,0,0,0,0
"PS_chr03_G010662",3,0,0,0,0,0,0,0
"PS_chr03_G010663",11,0,3,5,12,11,9,3
"PS_chr03_G010664",1167.998,1003.068,1846.293,1225.566,2069.528,829.514,643.02,1441.801
"PS_chr03_G010666",1106.009,1025.441,788.064,1378.135,943.264,820.625,396.531,756.368
"PS_chr03_G010667",5,5,1,1,2,0,2,0
"PS_chr03_G010668",16,0,4,0,70.016,31,112,114
"PS_chr03_G010669",11112.459,8670.689,15446.247,12547.518,19450.763,8597.755,7409.575,13958.814
"PS_chr03_G010670",0,0,0,0,0,0,0,4
"PS_chr03_G010671",0,0,0,0,0,0,0,0
"PS_chr03_G010672",0,0,0,0,0,4,0,0
"PS_chr03_G010673",20,28,39,10,0,12,20,3
"PS_chr03_G010674",0,0,0,0,0,0,0,0
"PS_chr03_G010675",0,0,0,0,0,0,0,0
"PS_chr03_G010676",31,17,87,80,54,44,2,19
"PS_chr03_G010677",2,0,0,0,0,5,0,3
"PS_chr03_G010678",0,0,0,0,0,0,3,0
"PS_chr03_G010679",4071.639,4083.357,2360.832,2234.831,2196.2,1864.588,1373.346,1815.806
"PS_chr03_G010680",44,2,11,16.472,29,4,9,19
"PS_chr03_G010681",1,0,0,0,0,0,0,0
"PS_chr03_G010683",83.008,49.115,137.879,49.883,242.45,35.904,154.516,289.305
"PS_chr03_G010684",6.001,0,0,0,3,0,7,0
"PS_chr03_G010685",13.105,16.016,72.1,0,19.492,15.944,110.754,0
"PS_chr03_G010686",0,6.582,11.815,9.883,0,0,0,0
"PS_chr03_G010687",0,0,0,0,0,0,0,0
"PS_chr03_G010688",0,0,0,0,0,0,0.985,0
"PS_chr03_G010689",0,0,0,0,0,0,0,0
"PS_chr03_G010690",0,2,6,3,12,0,4,0
"PS_chr03_G010691",0,0,0,0,0,0,1,0
"PS_chr03_G010692",0,0,0,0,0,0,0,0
"PS_chr03_G010693",0,0,0,0,0,0,0,0
"PS_chr03_G010694",2,3,6,4,0,0,0,1.132
"PS_chr03_G010696",0,0,0,0,0,0,0,0
"PS_chr03_G010697",1,0,0,0,0,0,0,0
"PS_chr03_G010698",8.038,4,0,6.782,0,0,0,1
"PS_chr03_G010699",0,0,0,1,0,1,0,2
"PS_chr03_G010700",0,0,2,0,0,0,1,1
"PS_chr03_G010701",0,1,0,0,1,0,0,1
"PS_chr03_G010704",133,173,363.417,213.448,486.269,71.924,325.68,480.215
"PS_chr03_G010705",0,0,50.941,129.283,41.553,68.076,0,88.629
"PS_chr03_G010707",3208.248,2527.517,3149.443,3732.257,5647.054,2425.536,2109.969,4704.85
"PS_chr03_G010708",0,0,0,0,0,0,0,3
"PS_chr03_G010710",321,238,472,263.212,689.799,183.026,305.373,519.499
"PS_chr03_G010711",904.3,794.401,917.587,964.541,957.253,597.738,541.622,964.03
"PS_chr03_G010713",377.091,321.922,276.193,361.531,553.679,330.308,323.534,537.222
"PS_chr03_G010714",0,0,0,0,0,0,0,0
"PS_chr03_G010715",417,428,1154.039,605,2215.824,400.89,1479.232,2697.87
"PS_chr03_G010717",195.471,136.885,111.522,43.343,354.842,249.687,64.271,418.684
"PS_chr03_G010718",1266.288,1705.064,962.658,1071.334,1028.167,1173.977,576.806,915.08
"PS_chr03_G010719",73,79,70,93,122.862,68,57,128.243
"PS_chr03_G010720",238.827,161,128.811,97.284,97,164.903,30.052,118.702
"PS_chr03_G010721",0,5,1,10.998,0,0,0,0
"PS_chr03_G010722",4,3.262,6.103,9.002,3,1,6,2.175
"PS_chr03_G010723",0,0,0,0,0,0,0,0
"PS_chr03_G010724",178,81.999,34.084,200.988,63.663,110,34,32.342
"PS_chr03_G010725",0,0,0,0,0,0,0,0
"PS_chr03_G010726",60,37.742,28.002,124.012,42.337,44,18,50.78
"PS_chr03_G010727",94.54,74.599,80.709,135.753,226.522,95.386,100.213,196.355
"PS_chr03_G010728",0,0,0,0,0,0,0,0
"PS_chr03_G010729",6.611,6.756,5.474,3.312,1.84,2,45.43,4.319
"PS_chr03_G010730",0,2.6,0,0,0,0,0,0
"PS_chr03_G010731",352,318.118,437.277,448.004,866.683,334.062,335.352,841.113
"PS_chr03_G010732",1,4,0,0,4,0,0,4
"PS_chr03_G010733",0,0,0,0,0,0,0,0
"PS_chr03_G010734",96,31,137,83,60.985,38,76,69.045
"PS_chr03_G010735",0,0,0,0,0,0,2.002,0
"PS_chr03_G010736",828.099,754.001,660.304,694.336,1627.572,615.119,616.192,1412.515
"PS_chr03_G010737",7,6,14,28,26,4,5,41
"PS_chr03_G010738",0,0,0,0,0,0,0,0
"PS_chr03_G010739",1394.637,1247.203,888.682,1600.905,820.216,982.689,417.5,808.818
"PS_chr03_G010742",35,58,8,33,7,51,6,0
"PS_chr03_G010743",0,0,0,0,0,0,0,0
"PS_chr03_G010744",13553.764,10593.449,19827.05,13676.452,18107.491,11142.599,8023.172,16917.894
"PS_chr03_G010745",3108.872,2376.718,6242.707,4205.379,2929.562,1773.34,1328.227,2573.242
"PS_chr03_G010746",827.015,530.655,947.115,1346.187,510.051,733.552,205.927,595.4
"PS_chr03_G010749",341.553,357,432.001,334,212,267,94,252.171
"PS_chr03_G010750",6,12,15,18,2,1,0,1
"PS_chr03_G010751",40,54,136.616,130.285,56.891,59,3,44.342
"PS_chr03_G010752",19.229,3.667,12.963,13.411,95.037,20.327,14.895,103.656
"PS_chr03_G010753",2.635,2.34,9.122,2.006,6.782,0,27.325,15.239
"PS_chr03_G010754",10,0,22.337,31,5.109,8,2,3
"PS_chr03_G010755",70,60,262,227.47,225.157,35,83,196.912
"PS_chr03_G010756",0,20.28,57.887,57.38,58.018,44,17.325,50
"PS_chr03_G010757",64.509,18.746,5.633,18.718,0,0,13.058,0
"PS_chr03_G010759",7248.63,5727.48,5273.054,5891.609,7065.897,5195.473,3196.726,5386.619
"PS_chr03_G010760",1184.757,677.523,1574.041,1049.967,1932.194,846.003,876.579,1572.269
"PS_chr03_G010761",2,7,35,5,12,10,4,26
"PS_chr03_G010762",934,647.508,1413,1194.798,1356.209,249,310.057,1259.88
"PS_chr03_G010763",348,246,760,600.065,779.341,153,252,559.652
"PS_chr03_G010764",1102.713,1222.604,1267.149,1230.877,2427.604,942.401,1075.083,1666.194
"PS_chr03_G010767",1158.37,1107.21,853.728,1110.248,1470.8,602.845,580.526,1129.965
"PS_chr03_G010772",25.075,34.837,84.781,57.482,63.331,29.842,27.52,112.594
"PS_chr03_G010773",824.231,813,965.63,1269.096,995.633,571.549,563.122,892.007
"PS_chr03_G010775",22,17,51.272,18,18,24,15,25
"PS_chr03_G010776",1108,970.916,766.957,1607.104,1305.261,867.908,634.811,1228.046
"PS_chr03_G010780",33,2,12,46.685,84,3,29,47.099
"PS_chr03_G010781",343.587,851.327,12,6,14,5,1,5
"PS_chr03_G010783",1980.455,1847.17,4667.062,4478.268,6876.949,1440.905,2394.12,8928.837
"PS_chr03_G010784",1043.927,999.728,1039.402,922.004,1446.823,725.172,740.78,1464.36
"PS_chr03_G010785",1216.62,1102.425,1336.236,1700.406,2076.951,1050.017,695.399,1402.662
"PS_chr03_G010787",0,0,0,0,0,0,0,0
"PS_chr03_G010789",0,0,0,0,0,0,0,0
"PS_chr03_G010790",4,3,9,5,24,19,7,19
"PS_chr03_G010791",0,0,0,0,0,0,0,0
"PS_chr03_G010792",540.561,438.17,625.042,569.395,1022.235,380,498.976,743.208
"PS_chr03_G010793",0,0,0,0,0,0,0,0
"PS_chr03_G010794",4,0,0,3,3,0,3,10
"PS_chr03_G010795",2016.42,1715.861,2242.645,2102.721,3656.745,1452.142,1394.436,2363.895
"PS_chr03_G010796",17,31,35,16.874,64.001,49,62,32.69
"PS_chr03_G010797",1,0,0,1,0,0,0,0
"PS_chr03_G010798",0,0,0,120.376,0,1.215,22.393,20.268
"PS_chr03_G010799",1615.742,1289.446,1492.217,1413.385,2423.171,914.682,1124.178,2074.668
"PS_chr03_G010802",0,0,0,0,0,0,0,0
"PS_chr03_G010803",0,0,0,0,0,0,0,0
"PS_chr03_G010804",0,0,0,0,0,0,0,0
"PS_chr03_G010805",0,0,0,3,0,0,0,0
"PS_chr03_G010806",10,2,103.724,0,0,0,0,11
"PS_chr03_G010807",0,0,11,0,0,0,0,0
"PS_chr03_G010808",1,0,3.276,0,2,0,2,0
"PS_chr03_G010809",3,3,0,0,0,0,0,1
"PS_chr03_G010810",39,15,143.049,74,138.008,16,24,23
"PS_chr03_G010811",0,0,0,0,0,0,0,0
"PS_chr03_G010812",3,0,4,1,9,3,0,6
"PS_chr03_G010813",0,0,5,1,1,0,1,13
"PS_chr03_G010814",0,0,0,3,0,0,0,0
"PS_chr03_G010815",29,28,22,70,83.745,24,28,68.783
"PS_chr03_G010816",366,231,656.102,505.899,654.663,178,248.968,573.243
"PS_chr03_G010817",33,16,127.123,91.055,77,14,31.038,57.998
"PS_chr03_G010818",0,0,0,0,0,0,0,0
"PS_chr03_G010819",662.063,466.969,1005.22,1074.692,1429.103,395,284.945,1142.032
"PS_chr03_G010820",30,32,72,42,54,30,12.015,49
"PS_chr03_G010821",308,285,382.035,391.261,438.086,207,244.218,368.048
"PS_chr03_G010823",284.752,0,0,0,0,582.11,0,0
"PS_chr03_G010824",0,0,0,0,0,0,0,4.13
"PS_chr03_G010825",1.135,0,0,2.541,8.632,1.306,0,0
"PS_chr03_G010826",0,0,0,1,1,0,0,6
"PS_chr03_G010827",124.734,154.206,466.947,239.248,721.253,120.249,331.598,503.834
"PS_chr03_G010828",3,11.002,13.898,5.201,67.503,3,4,11.134
"PS_chr03_G010829",0,0,0,0,0,0,0,0
"PS_chr03_G010830",0,0,0,5,0,1,0,0
"PS_chr03_G010831",1892.404,1082.532,865.422,2349.526,959.903,652.098,930.625,1071.581
"PS_chr03_G010832",753.595,289.468,346.578,579.474,330.105,159.902,187.375,279.419
"PS_chr03_G010833",0,0,0,0,0,0,0,0
"PS_chr03_G010834",0,0,0,0,0,0,0,0
"PS_chr03_G010835",5,0,10,0,0,0,4,0
"PS_chr03_G010836",0,0,2,0,0,2,3,0
"PS_chr03_G010837",389,732.643,909.056,401.64,686.135,279.148,430.769,476.073
"PS_chr03_G010838",879.069,467.974,568.039,927.447,718.507,609.76,318.105,527.074
"PS_chr03_G010839",11,7,70,123,31,74,1,38
"PS_chr03_G010841",553.21,637.998,1209.96,866.828,1402.744,515.001,952.732,1999.149
"PS_chr03_G010842",0,0,0,2,0,0,0,0
"PS_chr03_G010843",11,13,3,3,2,8,0,9
"PS_chr03_G010844",0,0,0,0,0,0,0,0
"PS_chr03_G010845",0,0,0,0,0,0,0,0
"PS_chr03_G010846",70,51,24,19,21,69,28,19
"PS_chr03_G010847",5,4,1,1,3,16,5,0
"PS_chr03_G010848",0,0,0,0,0,0,0,0
"PS_chr03_G010849",154,54,35,10,164.34,39,26.163,36
"PS_chr03_G010850",0,0,0,0,0,0,0,0
"PS_chr03_G010851",2.699,0,0,0,154.928,41,109.085,204.535
"PS_chr03_G010852",8.301,0,6,0,0,0,61.721,0
"PS_chr03_G010853",14,0,0,0,57.072,31,32.638,51.492
"PS_chr03_G010854",1340.695,978.712,775,1398.785,1144.52,1083,699.056,1191.227
"PS_chr03_G010855",35.993,13.006,12.888,13.749,11.035,20.133,17.798,37.679
"PS_chr03_G010856",715.006,681.147,705.037,767.051,884.804,581.226,440.426,813.994
"PS_chr03_G010857",2037.649,1562.193,1561.909,2274.475,2751.659,1442.977,1009.326,2274.085
"PS_chr03_G010859",1488.964,1467.023,1701.697,1620.01,1908.139,1127.03,894.61,1557.069
"PS_chr03_G010860",363.611,241,424.037,518.85,344.551,310.032,43.011,165.877
"PS_chr03_G010861",0,0,0,0,0,0,0,0
"PS_chr03_G010862",15,14,0,15,10,15,20,44
"PS_chr03_G010863",0,0,0,0,0,0,0,0
"PS_chr03_G010864",892.618,844.05,614.481,833.152,885.219,636.742,720.802,1161.024
