PS_chr01_G000001.mRNA.3	PS_chr01_G000001
PS_chr01_G004960.mRNA.1	PS_chr01_G004960
PS_chr01_G004961.mRNA.2	PS_chr01_G004961
PS_chr01_G004962.mRNA.1	PS_chr01_G004962
PS_chr01_G004963.mRNA.1	PS_chr01_G004963
PS_chr01_G004965.mRNA.1	PS_chr01_G004965
PS_chr01_G004966.mRNA.1	PS_chr01_G004966
PS_chr01_G004967.mRNA.8	PS_chr01_G004967
PS_chr01_G004968.mRNA.1	PS_chr01_G004968
PS_chr01_G004971.mRNA.1	PS_chr01_G004971
PS_chr01_G004972.mRNA.1	PS_chr01_G004972
PS_chr01_G004973.mRNA.1	PS_chr01_G004973
PS_chr01_G004975.mRNA.1	PS_chr01_G004975
PS_chr01_G004976.mRNA.1	PS_chr01_G004976
PS_chr01_G004977.mRNA.1	PS_chr01_G004977
PS_chr01_G004978.mRNA.1	PS_chr01_G004978
PS_chr01_G004979.mRNA.1	PS_chr01_G004979
PS_chr01_G004980.mRNA.1	PS_chr01_G004980
PS_chr01_G004981.mRNA.1	PS_chr01_G004981
PS_chr01_G004982.mRNA.1	PS_chr01_G004982
PS_chr01_G004983.mRNA.4	PS_chr01_G004983
PS_chr01_G004985.mRNA.1	PS_chr01_G004985
PS_chr01_G004986.mRNA.1	PS_chr01_G004986
PS_chr01_G004987.mRNA.1	PS_chr01_G004987
PS_chr01_G004989.mRNA.1	PS_chr01_G004989
PS_chr01_G004990.mRNA.1	PS_chr01_G004990
PS_chr01_G004992.mRNA.1	PS_chr01_G004992
PS_chr01_G004993.mRNA.1	PS_chr01_G004993
PS_chr01_G004994.mRNA.2	PS_chr01_G004994
PS_chr01_G004995.mRNA.3	PS_chr01_G004995
PS_chr01_G004996.mRNA.1	PS_chr01_G004996
PS_chr01_G004997.mRNA.1	PS_chr01_G004997
PS_chr01_G004998.mRNA.1	PS_chr01_G004998
PS_chr01_G004999.mRNA.1	PS_chr01_G004999
PS_chr01_G005000.mRNA.1	PS_chr01_G005000
PS_chr01_G005003.mRNA.1	PS_chr01_G005003
PS_chr01_G005004.mRNA.1	PS_chr01_G005004
PS_chr01_G005005.mRNA.1	PS_chr01_G005005
PS_chr01_G005006.mRNA.1	PS_chr01_G005006
PS_chr01_G005007.mRNA.4	PS_chr01_G005007
PS_chr01_G005008.mRNA.1	PS_chr01_G005008
PS_chr01_G005009.mRNA.1	PS_chr01_G005009
PS_chr01_G005010.mRNA.1	PS_chr01_G005010
PS_chr01_G005011.mRNA.1	PS_chr01_G005011
PS_chr01_G005012.mRNA.1	PS_chr01_G005012
PS_chr01_G005013.mRNA.2	PS_chr01_G005013
PS_chr01_G005014.mRNA.1	PS_chr01_G005014
PS_chr01_G005015.mRNA.1	PS_chr01_G005015
PS_chr01_G005016.mRNA.1	PS_chr01_G005016
PS_chr01_G005017.mRNA.1	PS_chr01_G005017
PS_chr01_G005018.mRNA.1	PS_chr01_G005018
PS_chr01_G005019.mRNA.1	PS_chr01_G005019
PS_chr01_G005020.mRNA.1	PS_chr01_G005020
PS_chr01_G005021.mRNA.2	PS_chr01_G005021
PS_chr01_G005022.mRNA.1	PS_chr01_G005022
PS_chr01_G005023.mRNA.2	PS_chr01_G005023
PS_chr01_G005024.mRNA.1	PS_chr01_G005024
PS_chr01_G005025.mRNA.1	PS_chr01_G005025
PS_chr01_G005026.mRNA.1	PS_chr01_G005026
PS_chr01_G005027.mRNA.1	PS_chr01_G005027
PS_chr01_G005028.mRNA.1	PS_chr01_G005028
PS_chr01_G005029.mRNA.1	PS_chr01_G005029
PS_chr01_G005031.mRNA.1	PS_chr01_G005031
PS_chr01_G005032.mRNA.1	PS_chr01_G005032
PS_chr01_G005033.mRNA.3	PS_chr01_G005033
PS_chr01_G005038.mRNA.1	PS_chr01_G005038
PS_chr01_G005039.mRNA.1	PS_chr01_G005039
PS_chr01_G005041.mRNA.1	PS_chr01_G005041
PS_chr01_G005042.mRNA.2	PS_chr01_G005042
PS_chr01_G005043.mRNA.1	PS_chr01_G005043
PS_chr01_G005044.mRNA.1	PS_chr01_G005044
PS_chr01_G005045.mRNA.1	PS_chr01_G005045
PS_chr01_G005046.mRNA.1	PS_chr01_G005046
PS_chr01_G005047.mRNA.1	PS_chr01_G005047
PS_chr01_G005048.mRNA.1	PS_chr01_G005048
PS_chr01_G005049.mRNA.1	PS_chr01_G005049
PS_chr01_G005050.mRNA.1	PS_chr01_G005050
PS_chr01_G005051.mRNA.1	PS_chr01_G005051
PS_chr01_G005052.mRNA.1	PS_chr01_G005052
PS_chr01_G005053.mRNA.1	PS_chr01_G005053
PS_chr01_G005054.mRNA.1	PS_chr01_G005054
PS_chr01_G005059.mRNA.1	PS_chr01_G005059
PS_chr01_G005060.mRNA.1	PS_chr01_G005060
PS_chr01_G005061.mRNA.1	PS_chr01_G005061
PS_chr01_G005062.mRNA.3	PS_chr01_G005062
PS_chr01_G005064.mRNA.1	PS_chr01_G005064
PS_chr01_G005065.mRNA.1	PS_chr01_G005065
PS_chr01_G005066.mRNA.1	PS_chr01_G005066
PS_chr01_G005067.mRNA.1	PS_chr01_G005067
PS_chr01_G005068.mRNA.8	PS_chr01_G005068
PS_chr01_G005069.mRNA.1	PS_chr01_G005069
PS_chr01_G005070.mRNA.2	PS_chr01_G005070
PS_chr01_G005071.mRNA.1	PS_chr01_G005071
PS_chr01_G005073.mRNA.1	PS_chr01_G005073
PS_chr01_G005072.mRNA.3	PS_chr01_G005072
PS_chr01_G005074.mRNA.1	PS_chr01_G005074
PS_chr01_G005075.mRNA.1	PS_chr01_G005075
PS_chr01_G005076.mRNA.1	PS_chr01_G005076
PS_chr01_G005077.mRNA.1	PS_chr01_G005077
PS_chr01_G005078.mRNA.1	PS_chr01_G005078
PS_chr01_G005079.mRNA.1	PS_chr01_G005079
PS_chr01_G005080.mRNA.2	PS_chr01_G005080
PS_chr01_G005081.mRNA.1	PS_chr01_G005081
PS_chr01_G005082.mRNA.1	PS_chr01_G005082
PS_chr01_G005083.mRNA.1	PS_chr01_G005083
PS_chr01_G005084.mRNA.1	PS_chr01_G005084
PS_chr01_G005085.mRNA.1	PS_chr01_G005085
PS_chr01_G005086.mRNA.1	PS_chr01_G005086
PS_chr01_G005088.mRNA.1	PS_chr01_G005088
PS_chr01_G005089.mRNA.1	PS_chr01_G005089
PS_chr01_G005091.mRNA.2	PS_chr01_G005091
PS_chr01_G005092.mRNA.1	PS_chr01_G005092
PS_chr01_G005093.mRNA.3	PS_chr01_G005093
PS_chr01_G005094.mRNA.1	PS_chr01_G005094
PS_chr01_G005095.mRNA.1	PS_chr01_G005095
PS_chr01_G005096.mRNA.1	PS_chr01_G005096
PS_chr01_G005097.mRNA.1	PS_chr01_G005097
PS_chr01_G005099.mRNA.1	PS_chr01_G005099
PS_chr01_G005100.mRNA.1	PS_chr01_G005100
PS_chr01_G005101.mRNA.1	PS_chr01_G005101
PS_chr01_G005102.mRNA.1	PS_chr01_G005102
PS_chr01_G005103.mRNA.2	PS_chr01_G005103
PS_chr01_G005104.mRNA.1	PS_chr01_G005104
PS_chr01_G005105.mRNA.1	PS_chr01_G005105
PS_chr01_G005106.mRNA.2	PS_chr01_G005106
PS_chr01_G005109.mRNA.1	PS_chr01_G005109
PS_chr01_G005110.mRNA.1	PS_chr01_G005110
PS_chr01_G005111.mRNA.1	PS_chr01_G005111
PS_chr01_G005112.mRNA.1	PS_chr01_G005112
PS_chr01_G005113.mRNA.4	PS_chr01_G005113
PS_chr01_G005117.mRNA.1	PS_chr01_G005117
PS_chr01_G005118.mRNA.4	PS_chr01_G005118
PS_chr01_G005119.mRNA.1	PS_chr01_G005119
PS_chr01_G005120.mRNA.1	PS_chr01_G005120
PS_chr01_G005122.mRNA.1	PS_chr01_G005122
PS_chr01_G005123.mRNA.1	PS_chr01_G005123
PS_chr01_G005125.mRNA.1	PS_chr01_G005125
PS_chr01_G005126.mRNA.1	PS_chr01_G005126
PS_chr01_G005127.mRNA.3	PS_chr01_G005127
PS_chr01_G005129.mRNA.2	PS_chr01_G005129
PS_chr01_G005130.mRNA.1	PS_chr01_G005130
PS_chr01_G005131.mRNA.1	PS_chr01_G005131
PS_chr01_G005132.mRNA.4	PS_chr01_G005132
PS_chr01_G005134.mRNA.1	PS_chr01_G005134
PS_chr01_G005135.mRNA.1	PS_chr01_G005135
PS_chr01_G005136.mRNA.2	PS_chr01_G005136
PS_chr01_G005137.mRNA.1	PS_chr01_G005137
PS_chr01_G005138.mRNA.1	PS_chr01_G005138
PS_chr01_G005139.mRNA.1	PS_chr01_G005139
PS_chr01_G005140.mRNA.1	PS_chr01_G005140
PS_chr01_G005141.mRNA.1	PS_chr01_G005141
PS_chr01_G005144.mRNA.1	PS_chr01_G005144
PS_chr01_G005145.mRNA.2	PS_chr01_G005145
PS_chr01_G005148.mRNA.1	PS_chr01_G005148
PS_chr01_G005149.mRNA.1	PS_chr01_G005149
PS_chr01_G005150.mRNA.1	PS_chr01_G005150
PS_chr01_G005151.mRNA.1	PS_chr01_G005151
PS_chr01_G005152.mRNA.1	PS_chr01_G005152
PS_chr01_G005153.mRNA.5	PS_chr01_G005153
PS_chr01_G005155.mRNA.3	PS_chr01_G005155
PS_chr01_G005156.mRNA.1	PS_chr01_G005156
PS_chr01_G005157.mRNA.2	PS_chr01_G005157
PS_chr01_G005158.mRNA.1	PS_chr01_G005158
PS_chr01_G005159.mRNA.1	PS_chr01_G005159
PS_chr01_G005161.mRNA.4	PS_chr01_G005161
PS_chr01_G005162.mRNA.1	PS_chr01_G005162
PS_chr01_G005163.mRNA.1	PS_chr01_G005163
PS_chr01_G005165.mRNA.2	PS_chr01_G005165
PS_chr01_G005166.mRNA.1	PS_chr01_G005166
PS_chr01_G005167.mRNA.1	PS_chr01_G005167
PS_chr01_G005168.mRNA.4	PS_chr01_G005168
PS_chr01_G005169.mRNA.1	PS_chr01_G005169
PS_chr01_G005170.mRNA.1	PS_chr01_G005170
PS_chr01_G005172.mRNA.1	PS_chr01_G005172
PS_chr01_G005174.mRNA.1	PS_chr01_G005174
PS_chr01_G005175.mRNA.1	PS_chr01_G005175
PS_chr01_G005176.mRNA.1	PS_chr01_G005176
PS_chr01_G005178.mRNA.1	PS_chr01_G005178
PS_chr01_G005179.mRNA.2	PS_chr01_G005179
PS_chr01_G005180.mRNA.1	PS_chr01_G005180
PS_chr01_G005182.mRNA.1	PS_chr01_G005182
PS_chr01_G005183.mRNA.5	PS_chr01_G005183
PS_chr01_G005184.mRNA.1	PS_chr01_G005184
PS_chr01_G005185.mRNA.1	PS_chr01_G005185
PS_chr01_G005186.mRNA.2	PS_chr01_G005186
PS_chr01_G005187.mRNA.2	PS_chr01_G005187
PS_chr01_G005188.mRNA.1	PS_chr01_G005188
PS_chr01_G005191.mRNA.1	PS_chr01_G005191
PS_chr01_G005192.mRNA.1	PS_chr01_G005192
PS_chr01_G005193.mRNA.1	PS_chr01_G005193
PS_chr01_G005195.mRNA.1	PS_chr01_G005195
PS_chr01_G005196.mRNA.1	PS_chr01_G005196
PS_chr01_G005197.mRNA.1	PS_chr01_G005197
PS_chr01_G005198.mRNA.1	PS_chr01_G005198
PS_chr01_G005199.mRNA.1	PS_chr01_G005199
PS_chr01_G005200.mRNA.1	PS_chr01_G005200
PS_chr01_G005201.mRNA.1	PS_chr01_G005201
PS_chr01_G005202.mRNA.1	PS_chr01_G005202
PS_chr01_G005203.mRNA.2	PS_chr01_G005203
PS_chr01_G005204.mRNA.1	PS_chr01_G005204
PS_chr01_G005205.mRNA.1	PS_chr01_G005205
PS_chr01_G005206.mRNA.1	PS_chr01_G005206
PS_chr01_G005207.mRNA.1	PS_chr01_G005207
PS_chr01_G005208.mRNA.1	PS_chr01_G005208
PS_chr01_G005209.mRNA.1	PS_chr01_G005209
PS_chr01_G005210.mRNA.1	PS_chr01_G005210
PS_chr01_G005212.mRNA.1	PS_chr01_G005212
PS_chr01_G005214.mRNA.1	PS_chr01_G005214
PS_chr01_G005215.mRNA.2	PS_chr01_G005215
PS_chr01_G005216.mRNA.1	PS_chr01_G005216
PS_chr01_G005217.mRNA.1	PS_chr01_G005217
PS_chr01_G005219.mRNA.1	PS_chr01_G005219
PS_chr01_G005220.mRNA.1	PS_chr01_G005220
PS_chr01_G005221.mRNA.1	PS_chr01_G005221
PS_chr01_G005222.mRNA.1	PS_chr01_G005222
PS_chr01_G005223.mRNA.1	PS_chr01_G005223
PS_chr01_G005224.mRNA.4	PS_chr01_G005224
PS_chr01_G005226.mRNA.1	PS_chr01_G005226
PS_chr01_G005225.mRNA.2	PS_chr01_G005225
PS_chr01_G005227.mRNA.1	PS_chr01_G005227
PS_chr01_G005228.mRNA.1	PS_chr01_G005228
PS_chr01_G005229.mRNA.2	PS_chr01_G005229
PS_chr01_G005230.mRNA.15	PS_chr01_G005230
PS_chr01_G005231.mRNA.2	PS_chr01_G005231
PS_chr01_G005232.mRNA.1	PS_chr01_G005232
PS_chr01_G005233.mRNA.2	PS_chr01_G005233
PS_chr01_G005234.mRNA.1	PS_chr01_G005234
PS_chr01_G005235.mRNA.1	PS_chr01_G005235
PS_chr01_G005236.mRNA.4	PS_chr01_G005236
PS_chr01_G005241.mRNA.8	PS_chr01_G005241
PS_chr01_G005243.mRNA.1	PS_chr01_G005243
PS_chr01_G005245.mRNA.1	PS_chr01_G005245
PS_chr01_G005250.mRNA.1	PS_chr01_G005250
PS_chr01_G005252.mRNA.1	PS_chr01_G005252
PS_chr01_G005255.mRNA.1	PS_chr01_G005255
PS_chr01_G005256.mRNA.1	PS_chr01_G005256
PS_chr01_G005258.mRNA.1	PS_chr01_G005258
PS_chr01_G005259.mRNA.1	PS_chr01_G005259
PS_chr01_G005260.mRNA.1	PS_chr01_G005260
PS_chr02_G005261.mRNA.2	PS_chr02_G005261
PS_chr02_G005262.mRNA.1	PS_chr02_G005262
PS_chr02_G005264.mRNA.1	PS_chr02_G005264
PS_chr02_G005265.mRNA.13	PS_chr02_G005265
PS_chr02_G005266.mRNA.1	PS_chr02_G005266
PS_chr02_G005268.mRNA.4	PS_chr02_G005268
PS_chr02_G005270.mRNA.1	PS_chr02_G005270
PS_chr02_G005271.mRNA.1	PS_chr02_G005271
PS_chr02_G005273.mRNA.7	PS_chr02_G005273
PS_chr02_G005275.mRNA.1	PS_chr02_G005275
PS_chr02_G005276.mRNA.1	PS_chr02_G005276
PS_chr02_G005277.mRNA.1	PS_chr02_G005277
PS_chr02_G005278.mRNA.1	PS_chr02_G005278
PS_chr02_G005279.mRNA.1	PS_chr02_G005279
PS_chr02_G005280.mRNA.1	PS_chr02_G005280
PS_chr02_G005281.mRNA.6	PS_chr02_G005281
PS_chr02_G005282.mRNA.1	PS_chr02_G005282
PS_chr02_G005283.mRNA.1	PS_chr02_G005283
PS_chr02_G005284.mRNA.1	PS_chr02_G005284
PS_chr02_G005285.mRNA.1	PS_chr02_G005285
PS_chr02_G005292.mRNA.1	PS_chr02_G005292
PS_chr02_G005293.mRNA.1	PS_chr02_G005293
PS_chr02_G005295.mRNA.3	PS_chr02_G005295
PS_chr02_G005296.mRNA.2	PS_chr02_G005296
PS_chr02_G005298.mRNA.7	PS_chr02_G005298
PS_chr02_G005297.mRNA.1	PS_chr02_G005297
PS_chr02_G005299.mRNA.2	PS_chr02_G005299
PS_chr02_G005300.mRNA.3	PS_chr02_G005300
PS_chr02_G005301.mRNA.1	PS_chr02_G005301
PS_chr02_G005302.mRNA.2	PS_chr02_G005302
PS_chr02_G005303.mRNA.2	PS_chr02_G005303
PS_chr02_G005304.mRNA.1	PS_chr02_G005304
PS_chr02_G005305.mRNA.1	PS_chr02_G005305
PS_chr02_G005306.mRNA.1	PS_chr02_G005306
PS_chr02_G005308.mRNA.2	PS_chr02_G005308
PS_chr02_G005309.mRNA.1	PS_chr02_G005309
PS_chr02_G005310.mRNA.1	PS_chr02_G005310
PS_chr02_G005312.mRNA.1	PS_chr02_G005312
PS_chr02_G005313.mRNA.1	PS_chr02_G005313
PS_chr02_G005314.mRNA.1	PS_chr02_G005314
PS_chr02_G005315.mRNA.1	PS_chr02_G005315
PS_chr02_G005317.mRNA.1	PS_chr02_G005317
PS_chr02_G005316.mRNA.2	PS_chr02_G005316
PS_chr02_G005318.mRNA.2	PS_chr02_G005318
PS_chr02_G005319.mRNA.1	PS_chr02_G005319
PS_chr02_G005320.mRNA.1	PS_chr02_G005320
PS_chr02_G005323.mRNA.1	PS_chr02_G005323
PS_chr02_G005324.mRNA.8	PS_chr02_G005324
PS_chr02_G005325.mRNA.1	PS_chr02_G005325
PS_chr02_G005326.mRNA.1	PS_chr02_G005326
PS_chr02_G005327.mRNA.1	PS_chr02_G005327
PS_chr02_G005328.mRNA.3	PS_chr02_G005328
PS_chr02_G005329.mRNA.1	PS_chr02_G005329
PS_chr02_G005330.mRNA.10	PS_chr02_G005330
PS_chr02_G005331.mRNA.1	PS_chr02_G005331
PS_chr02_G005332.mRNA.2	PS_chr02_G005332
PS_chr02_G005333.mRNA.1	PS_chr02_G005333
PS_chr02_G005334.mRNA.9	PS_chr02_G005334
PS_chr02_G005351.mRNA.9	PS_chr02_G005351
PS_chr02_G005352.mRNA.1	PS_chr02_G005352
PS_chr02_G005353.mRNA.1	PS_chr02_G005353
PS_chr02_G005354.mRNA.3	PS_chr02_G005354
PS_chr02_G005355.mRNA.1	PS_chr02_G005355
PS_chr02_G005356.mRNA.1	PS_chr02_G005356
PS_chr02_G005357.mRNA.1	PS_chr02_G005357
PS_chr02_G005358.mRNA.1	PS_chr02_G005358
PS_chr02_G005359.mRNA.2	PS_chr02_G005359
PS_chr02_G005360.mRNA.1	PS_chr02_G005360
PS_chr02_G005361.mRNA.1	PS_chr02_G005361
PS_chr02_G005362.mRNA.12	PS_chr02_G005362
PS_chr02_G005364.mRNA.2	PS_chr02_G005364
PS_chr02_G005365.mRNA.4	PS_chr02_G005365
PS_chr02_G005368.mRNA.1	PS_chr02_G005368
PS_chr02_G005370.mRNA.1	PS_chr02_G005370
PS_chr02_G005371.mRNA.1	PS_chr02_G005371
PS_chr02_G005372.mRNA.1	PS_chr02_G005372
PS_chr02_G005374.mRNA.1	PS_chr02_G005374
PS_chr02_G005376.mRNA.1	PS_chr02_G005376
PS_chr02_G005377.mRNA.1	PS_chr02_G005377
PS_chr02_G005378.mRNA.1	PS_chr02_G005378
PS_chr02_G005379.mRNA.1	PS_chr02_G005379
PS_chr02_G005380.mRNA.1	PS_chr02_G005380
PS_chr02_G005381.mRNA.1	PS_chr02_G005381
PS_chr02_G005382.mRNA.1	PS_chr02_G005382
PS_chr02_G005383.mRNA.1	PS_chr02_G005383
PS_chr02_G005384.mRNA.2	PS_chr02_G005384
PS_chr02_G005385.mRNA.1	PS_chr02_G005385
PS_chr02_G005386.mRNA.1	PS_chr02_G005386
PS_chr02_G005387.mRNA.1	PS_chr02_G005387
PS_chr02_G005388.mRNA.2	PS_chr02_G005388
PS_chr02_G005389.mRNA.3	PS_chr02_G005389
PS_chr02_G005390.mRNA.2	PS_chr02_G005390
PS_chr02_G005391.mRNA.1	PS_chr02_G005391
PS_chr02_G005392.mRNA.1	PS_chr02_G005392
PS_chr02_G005393.mRNA.1	PS_chr02_G005393
PS_chr02_G005395.mRNA.1	PS_chr02_G005395
PS_chr02_G005394.mRNA.6	PS_chr02_G005394
PS_chr02_G005397.mRNA.1	PS_chr02_G005397
PS_chr02_G005398.mRNA.1	PS_chr02_G005398
PS_chr02_G005402.mRNA.1	PS_chr02_G005402
PS_chr02_G005403.mRNA.1	PS_chr02_G005403
PS_chr02_G005404.mRNA.1	PS_chr02_G005404
PS_chr02_G005405.mRNA.1	PS_chr02_G005405
PS_chr02_G005406.mRNA.1	PS_chr02_G005406
PS_chr02_G005408.mRNA.1	PS_chr02_G005408
PS_chr02_G005409.mRNA.2	PS_chr02_G005409
PS_chr02_G005410.mRNA.1	PS_chr02_G005410
PS_chr02_G005411.mRNA.1	PS_chr02_G005411
PS_chr02_G005412.mRNA.1	PS_chr02_G005412
PS_chr02_G005413.mRNA.1	PS_chr02_G005413
PS_chr02_G005414.mRNA.1	PS_chr02_G005414
PS_chr02_G005415.mRNA.1	PS_chr02_G005415
PS_chr02_G005416.mRNA.2	PS_chr02_G005416
PS_chr02_G005417.mRNA.1	PS_chr02_G005417
PS_chr02_G005418.mRNA.1	PS_chr02_G005418
PS_chr02_G005419.mRNA.1	PS_chr02_G005419
PS_chr02_G005420.mRNA.1	PS_chr02_G005420
PS_chr02_G005421.mRNA.1	PS_chr02_G005421
PS_chr02_G005422.mRNA.1	PS_chr02_G005422
PS_chr02_G005423.mRNA.1	PS_chr02_G005423
PS_chr02_G005424.mRNA.1	PS_chr02_G005424
PS_chr02_G005425.mRNA.1	PS_chr02_G005425
PS_chr02_G005426.mRNA.1	PS_chr02_G005426
PS_chr02_G005427.mRNA.1	PS_chr02_G005427
PS_chr02_G005428.mRNA.2	PS_chr02_G005428
PS_chr02_G005429.mRNA.1	PS_chr02_G005429
PS_chr02_G005430.mRNA.1	PS_chr02_G005430
PS_chr02_G005431.mRNA.1	PS_chr02_G005431
PS_chr02_G005432.mRNA.1	PS_chr02_G005432
PS_chr02_G005433.mRNA.1	PS_chr02_G005433
PS_chr02_G005434.mRNA.1	PS_chr02_G005434
PS_chr02_G005435.mRNA.2	PS_chr02_G005435
PS_chr02_G005436.mRNA.1	PS_chr02_G005436
PS_chr02_G005437.mRNA.1	PS_chr02_G005437
PS_chr02_G005439.mRNA.1	PS_chr02_G005439
PS_chr02_G005440.mRNA.1	PS_chr02_G005440
PS_chr02_G005441.mRNA.1	PS_chr02_G005441
PS_chr02_G005442.mRNA.1	PS_chr02_G005442
PS_chr02_G005443.mRNA.1	PS_chr02_G005443
PS_chr02_G005444.mRNA.1	PS_chr02_G005444
PS_chr02_G005445.mRNA.1	PS_chr02_G005445
PS_chr02_G005446.mRNA.1	PS_chr02_G005446
PS_chr02_G005447.mRNA.1	PS_chr02_G005447
PS_chr02_G005448.mRNA.1	PS_chr02_G005448
PS_chr02_G005449.mRNA.1	PS_chr02_G005449
PS_chr02_G005450.mRNA.1	PS_chr02_G005450
PS_chr02_G005451.mRNA.1	PS_chr02_G005451
PS_chr02_G005452.mRNA.1	PS_chr02_G005452
PS_chr02_G005453.mRNA.1	PS_chr02_G005453
PS_chr02_G005454.mRNA.1	PS_chr02_G005454
PS_chr02_G005455.mRNA.1	PS_chr02_G005455
PS_chr02_G005456.mRNA.1	PS_chr02_G005456
PS_chr02_G005457.mRNA.1	PS_chr02_G005457
PS_chr02_G005458.mRNA.1	PS_chr02_G005458
PS_chr02_G005459.mRNA.1	PS_chr02_G005459
PS_chr02_G005460.mRNA.1	PS_chr02_G005460
PS_chr02_G005462.mRNA.1	PS_chr02_G005462
PS_chr02_G005463.mRNA.1	PS_chr02_G005463
PS_chr02_G005464.mRNA.1	PS_chr02_G005464
PS_chr02_G005465.mRNA.3	PS_chr02_G005465
PS_chr02_G005466.mRNA.1	PS_chr02_G005466
PS_chr02_G005467.mRNA.3	PS_chr02_G005467
PS_chr02_G005468.mRNA.1	PS_chr02_G005468
PS_chr02_G005469.mRNA.3	PS_chr02_G005469
PS_chr02_G005471.mRNA.1	PS_chr02_G005471
PS_chr02_G005472.mRNA.1	PS_chr02_G005472
PS_chr02_G005473.mRNA.1	PS_chr02_G005473
PS_chr02_G005474.mRNA.1	PS_chr02_G005474
PS_chr02_G005475.mRNA.1	PS_chr02_G005475
PS_chr02_G005477.mRNA.1	PS_chr02_G005477
PS_chr02_G005476.mRNA.2	PS_chr02_G005476
PS_chr02_G005478.mRNA.1	PS_chr02_G005478
PS_chr02_G005479.mRNA.1	PS_chr02_G005479
PS_chr02_G005480.mRNA.4	PS_chr02_G005480
PS_chr02_G005481.mRNA.1	PS_chr02_G005481
PS_chr02_G005482.mRNA.1	PS_chr02_G005482
PS_chr02_G005483.mRNA.1	PS_chr02_G005483
PS_chr02_G005484.mRNA.1	PS_chr02_G005484
PS_chr02_G005485.mRNA.2	PS_chr02_G005485
PS_chr02_G005487.mRNA.1	PS_chr02_G005487
PS_chr02_G005488.mRNA.1	PS_chr02_G005488
PS_chr02_G005489.mRNA.2	PS_chr02_G005489
PS_chr02_G005490.mRNA.2	PS_chr02_G005490
PS_chr02_G005491.mRNA.2	PS_chr02_G005491
PS_chr02_G005492.mRNA.1	PS_chr02_G005492
PS_chr02_G005493.mRNA.1	PS_chr02_G005493
PS_chr02_G005494.mRNA.1	PS_chr02_G005494
PS_chr02_G005495.mRNA.1	PS_chr02_G005495
PS_chr02_G005496.mRNA.1	PS_chr02_G005496
PS_chr02_G005497.mRNA.1	PS_chr02_G005497
PS_chr02_G005498.mRNA.1	PS_chr02_G005498
PS_chr02_G005499.mRNA.1	PS_chr02_G005499
PS_chr02_G005500.mRNA.1	PS_chr02_G005500
PS_chr02_G005502.mRNA.1	PS_chr02_G005502
PS_chr02_G005503.mRNA.1	PS_chr02_G005503
PS_chr02_G005505.mRNA.1	PS_chr02_G005505
PS_chr02_G005506.mRNA.1	PS_chr02_G005506
PS_chr02_G005507.mRNA.1	PS_chr02_G005507
PS_chr02_G005508.mRNA.2	PS_chr02_G005508
PS_chr02_G005509.mRNA.1	PS_chr02_G005509
PS_chr02_G005510.mRNA.1	PS_chr02_G005510
PS_chr02_G005511.mRNA.1	PS_chr02_G005511
PS_chr02_G005512.mRNA.1	PS_chr02_G005512
PS_chr02_G005513.mRNA.1	PS_chr02_G005513
PS_chr02_G005514.mRNA.1	PS_chr02_G005514
PS_chr02_G005515.mRNA.1	PS_chr02_G005515
PS_chr02_G005516.mRNA.1	PS_chr02_G005516
PS_chr02_G005518.mRNA.1	PS_chr02_G005518
PS_chr02_G005519.mRNA.1	PS_chr02_G005519
PS_chr02_G005520.mRNA.3	PS_chr02_G005520
PS_chr02_G005533.mRNA.1	PS_chr02_G005533
PS_chr02_G005541.mRNA.1	PS_chr02_G005541
PS_chr02_G005542.mRNA.1	PS_chr02_G005542
PS_chr02_G005544.mRNA.1	PS_chr02_G005544
PS_chr02_G005545.mRNA.2	PS_chr02_G005545
PS_chr02_G005547.mRNA.1	PS_chr02_G005547
PS_chr02_G005548.mRNA.1	PS_chr02_G005548
PS_chr02_G005549.mRNA.1	PS_chr02_G005549
PS_chr02_G005550.mRNA.1	PS_chr02_G005550
PS_chr02_G005551.mRNA.1	PS_chr02_G005551
PS_chr02_G005553.mRNA.1	PS_chr02_G005553
PS_chr02_G005554.mRNA.1	PS_chr02_G005554
PS_chr02_G005555.mRNA.1	PS_chr02_G005555
PS_chr02_G005556.mRNA.1	PS_chr02_G005556
PS_chr02_G005557.mRNA.1	PS_chr02_G005557
PS_chr02_G005558.mRNA.1	PS_chr02_G005558
PS_chr02_G005559.mRNA.1	PS_chr02_G005559
PS_chr02_G005560.mRNA.1	PS_chr02_G005560
PS_chr02_G005561.mRNA.1	PS_chr02_G005561
PS_chr02_G005562.mRNA.1	PS_chr02_G005562
PS_chr02_G005563.mRNA.1	PS_chr02_G005563
PS_chr02_G005564.mRNA.1	PS_chr02_G005564
PS_chr02_G005565.mRNA.2	PS_chr02_G005565
PS_chr02_G005567.mRNA.4	PS_chr02_G005567
PS_chr02_G005568.mRNA.1	PS_chr02_G005568
PS_chr02_G005569.mRNA.2	PS_chr02_G005569
PS_chr02_G005570.mRNA.2	PS_chr02_G005570
PS_chr02_G005571.mRNA.1	PS_chr02_G005571
PS_chr02_G005572.mRNA.1	PS_chr02_G005572
PS_chr02_G005573.mRNA.1	PS_chr02_G005573
PS_chr02_G005574.mRNA.2	PS_chr02_G005574
PS_chr02_G005575.mRNA.1	PS_chr02_G005575
PS_chr02_G005576.mRNA.1	PS_chr02_G005576
